LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,TOT_ENR,TOT_DAYSMISSED,DAYSMISSED_PER_100,TOT_EXPWE,TOT_EXPWOE,TOT_ISS,ISS_PER_100,TOT_MULTOOS,MULTOOS_PER_100,TOT_SINGOOS,SINGOOS_PER_100,SCH_SAL_TOTPERS_WOFED,SCH_SAL_TEACH_WOFED,SCH_SAL_AID_WOFED,SCH_SAL_SUP_WOFED,SCH_SAL_ADM_WOFED,SCH_NPE_WOFED,SPEND_PER_STUDENT_WOFED,SPEND_PER_STUDENT_TEACH_WOFED,SPEND_PER_STUDENT_AID_WOFED,SPEND_PER_STUDENT_SUP_WOFED,SPEND_PER_STUDENT_ADM_WOFED,SPEND_PER_STUDENT_NPE_WOFED
AL,ALABAMA,0100180,Attalla City,00033,Etowah High Sch,010018000033,664,175,26.36,0,0,107,16.11,11,1.66,93,14.01,3194585.32,2197681.39,74543.14,454825.66,441844.5,507127.27,4811.12,3309.76,112.26,684.98,665.43,763.75
AL,ALABAMA,0100190,Alabaster City,01183,Thompson High School,010019001183,1875,710,37.87,0,0,273,14.56,90,4.8,350,18.67,6619512.22,5519802.79,375603.33,309796.98,414309.12,222720.35,3530.41,2943.89,200.32,165.23,220.96,118.78
AL,ALABAMA,0100194,Pelham City,02399,Pelham High School,010019402399,903,133,14.73,8,0,115,12.74,10,1.11,26,2.88,4688925.17,3119142.97,81758.98,731322.27,421261.15,1795027.47,5192.61,3454.2,90.54,809.88,466.51,1987.85
AL,ALABAMA,0100240,Autauga County,00046,Marbury Sch,010024000046,549,25,4.55,0,4,59,10.75,4,0.73,9,1.64,1700525,1392374,12521,104167,150192,32550,3097.5,2536.2,22.81,189.74,273.57,59.29
AL,ALABAMA,0100240,Autauga County,00048,Prattville High Sch,010024000048,2021,172,8.51,0,12,227,11.23,2,0.1,8,0.4,5291933,4530870,50084,338916,372467,24875,2618.47,2241.9,24.78,167.7,184.3,12.31
AL,ALABAMA,0100270,Baldwin County,00024,Robertsdale High Sch,010027000024,1271,709,55.78,0,6,60,4.72,72,5.66,107,8.42,5071037.84,3669111.64,115037,306592,317030,752484.61,3989.8,2886.79,90.51,241.22,249.43,592.04
AL,ALABAMA,0100270,Baldwin County,00100,Fairhope High Sch,010027000100,1569,269,17.14,0,6,92,5.86,27,1.72,52,3.31,5413969.62,4070224.46,219493.96,313390,315665,1236699.28,3450.59,2594.15,139.89,199.74,201.19,788.21
AL,ALABAMA,0100270,Baldwin County,00641,Gulf Shores High Sch,010027000641,829,271,32.69,0,2,137,16.53,32,3.86,64,7.72,3596459.3,2459577.7,85517,207715,261162,824438.18,4338.31,2966.92,103.16,250.56,315.03,994.5
AL,ALABAMA,0100270,Baldwin County,01759,Daphne High Sch,010027001759,1200,434,36.17,0,8,214,17.83,54,4.5,96,8,4521000.67,3354768.97,140482,231385,329595,772928.67,3767.5,2795.64,117.07,192.82,274.66,644.11
AL,ALABAMA,0100270,Baldwin County,01784,Foley High Sch,010027001784,1797,1716,95.49,0,18,8,0.45,199,11.07,164,9.13,6608739.03,4907915.73,160108,233003,391770,1088456.71,3677.65,2731.17,89.1,129.66,218.01,605.71
AL,ALABAMA,0100270,Baldwin County,01810,Baldwin Co High Sch,010027001810,1101,710,64.49,0,8,116,10.54,60,5.45,88,7.99,4361043.72,3154073.9,151094.52,228126,329503,925708.19,3960.98,2864.74,137.23,207.2,299.28,840.79
AL,ALABAMA,0100270,Baldwin County,02073,Spanish Fort High Sch,010027002073,1102,221,20.05,0,2,115,10.44,20,1.81,42,3.81,4066245.13,2807145.87,184774,183869,239198,955558.47,3689.88,2547.32,167.67,166.85,217.06,867.11
AL,ALABAMA,0100360,Bibb County,00099,West Blocton High Sch,010036000099,492,85,17.28,0,0,14,2.85,4,0.81,32,6.5,1897556.66,998254.04,34341.4,124674.59,141183.63,691522.65,3856.82,2028.97,69.8,253.4,286.96,1405.53
AL,ALABAMA,0100480,Bullock County,00218,Bullock Co High Sch,010048000218,438,274,62.56,2,0,0,0,22,5.02,2,0.46,1867417,1390855,117853,426749,268052,102073,4263.51,3175.47,269.07,974.31,611.99,233.04
AL,ALABAMA,0100510,Butler County,00226,Greenville High Sch,010051000226,649,683,105.24,0,0,193,29.74,27,4.16,100,15.41,2243459.54,1658103.74,36982.46,183200.54,183200.54,38559.5,3456.79,2554.86,56.98,282.28,282.28,59.41
AL,ALABAMA,0100540,Calhoun County,00243,Saks High Sch,010054000243,389,29,7.46,4,0,70,17.99,2,0.51,8,2.06,2587809.82,1507268.26,172846.38,276254.67,294650.25,126512.07,6652.47,3874.73,444.34,710.17,757.46,325.22
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High Sch,010054000250,431,94,21.81,6,0,70,16.24,9,2.09,24,5.57,2517384.24,1738998.35,9003985,234701,284514.25,220840.78,5840.8,4034.8,20890.92,544.55,660.13,512.39
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee Co High Sch,010063000278,474,105,22.15,4,0,75,15.82,7,1.48,20,4.22,1823604.17,1823604.17,41617.05,163607.76,191197.11,454705.48,3847.27,3847.27,87.8,345.16,403.37,959.29
AL,ALABAMA,0100660,Chilton County,01491,Chilton Co High Sch,010066001491,775,287,37.03,0,0,6,0.77,25,3.23,69,8.9,2786485.63,2244420.5,101636.48,44031.72,48877.44,79459,3595.47,2896.03,131.14,56.82,63.07,102.53
AL,ALABAMA,0100720,Clarke County,00298,Clarke Co High Sch,010072000298,380,90,23.68,0,0,7,1.84,20,5.26,26,6.84,1308886,980769,36440,136268,155409,12369,3444.44,2580.97,95.89,358.6,408.97,32.55
AL,ALABAMA,0100720,Clarke County,01493,Jackson High Sch,010072001493,601,159,26.46,0,0,39,6.49,18,3,35,5.82,1048687,1048687,4703,92045,133360,14484,1744.9,1744.9,7.83,153.15,221.9,24.1
AL,ALABAMA,0100750,Clay County,02210,Central High School of Clay County,010075002210,754,130,17.24,41,0,0,0,26,3.45,61,8.09,2361976.09,2361976.09,21729,150319.5,173543.5,954377.04,3132.59,3132.59,28.82,199.36,230.16,1265.75
AL,ALABAMA,0100870,Conecuh County,01766,Hillcrest High Sch,010087001766,394,286,72.59,10,0,264,67.01,18,4.57,80,20.3,1599357,1095421.54,76479,122742,209996,680254.26,4059.28,2780.26,194.11,311.53,532.98,1726.53
AL,ALABAMA,0100900,Coosa County,01749,Central High Sch,010090001749,315,515,163.49,0,0,0,0,37,11.75,46,14.6,1178598.44,774174.43,61428.91,90658.91,262336.19,21913.21,3741.58,2457.7,195.01,287.81,832.81,69.57
AL,ALABAMA,0100930,Covington County,00363,Straughn High Sch,010093000363,404,73,18.07,0,0,23,5.69,7,1.73,24,5.94,2202971.95,1539060.18,68282.37,297433.07,135308.88,352785.37,5452.9,3809.55,169.02,736.22,334.92,873.23
AL,ALABAMA,0100990,Cullman City,00370,Cullman High Sch,010099000370,1004,1,0.1,0,0,89,8.86,0,0,2,0.2,3894572.19,2703212.92,50711.84,317066.62,373455.64,856335.44,3879.06,2692.44,50.51,315.8,371.97,852.92
AL,ALABAMA,0101050,Dale County,00389,Dale Co High Sch,010105000389,462,218,47.19,0,0,49,10.61,12,2.6,26,5.63,2166899.65,1537546.13,122385,164024.88,177509.5,538214.66,4690.26,3328.02,264.9,355.03,384.22,1164.97
AL,ALABAMA,0101110,Dallas County,00397,Dallas Co High Sch,010111000397,529,813,153.69,11,0,0,0,42,7.94,56,10.59,1536726.08,1237502.09,15590.9,111779.7,171853.39,46659.66,2904.96,2339.32,29.47,211.3,324.86,88.2
AL,ALABAMA,0101170,Decatur City,00426,Austin High Sch,010117000426,1437,45,3.13,10,4,320,22.27,0,0,10,0.7,5179910.15,4499051.3,13459.5,327419.16,339980.19,1005416.42,3604.67,3130.86,9.37,227.85,236.59,699.66
AL,ALABAMA,0101170,Decatur City,00429,Decatur High Sch,010117000429,979,18,1.84,11,4,267,27.27,0,0,4,0.41,3828405.51,3085050.05,14781.12,386442.64,342131.7,769774.86,3910.53,3151.23,15.1,394.73,349.47,786.29
AL,ALABAMA,0101200,Demopolis City,00148,Demopolis High Sch,010120000148,716,170,23.74,0,0,85,11.87,20,2.79,40,5.59,4066161,2836370.14,105608.18,72859.24,105608.19,860391.94,5679,3961.41,147.5,101.76,147.5,1201.66
AL,ALABAMA,0101230,Dothan City,00445,Dothan High School,010123000445,1132,1166,103,0,0,537,47.44,14,1.24,53,4.68,4038108.02,3602511.62,78182,119370.4,238044,592384.09,3567.23,3182.43,69.07,105.45,210.29,523.31
AL,ALABAMA,0101230,Dothan City,01501,Northview High School,010123001501,1269,126,9.93,0,0,95,7.49,92,7.25,29,2.29,3944209.76,3581909.54,78280,21086.5,262933.72,662794.11,3108.12,2822.62,61.69,16.62,207.2,522.3
AL,ALABAMA,0101290,Elmore County,00463,Elmore Co High Sch,010129000463,468,291,62.18,0,0,0,0,35,7.48,35,7.48,1502549,1112776,18781,118973,195154,260019,3210.57,2377.73,40.13,254.22,417,555.6
AL,ALABAMA,0101290,Elmore County,00465,Holtville High Sch,010129000465,478,215,44.98,17,2,0,0,20,4.18,23,4.81,1187927,1187927,18781,114246,152752,291412,2485.2,2485.2,39.29,239.01,319.56,609.65
AL,ALABAMA,0101290,Elmore County,00468,Stanhope Elmore High Sch,010129000468,1101,546,49.59,13,2,84,7.63,10,0.91,24,2.18,5547229,2840964,53512,252960,354864,1207351,5038.36,2580.35,48.6,229.75,322.31,1096.59
AL,ALABAMA,0101290,Elmore County,00471,Wetumpka High Sch,010129000471,1152,187,16.23,0,0,196,17.01,17,1.48,65,5.64,3457584,2779409,35202,245630,397343,1074615,3001.38,2412.68,30.56,213.22,344.92,932.83
AL,ALABAMA,0101290,Elmore County,00834,Elmore Co Tech Ctr,010129000834,422,1,0.24,0,0,5,1.18,0,0,0,0,779311,510033,18610,112512,138156,124627,1846.71,1208.61,44.1,266.62,327.38,295.32
AL,ALABAMA,0101320,Enterprise City,00476,Enterprise High Sch,010132000476,2590,266,10.27,0,0,193,7.45,2,0.08,107,4.13,5547635.33,4848420,43161.62,55287.38,600623.91,321254.59,2141.94,1871.98,16.66,21.35,231.9,124.04
AL,ALABAMA,0101350,Escambia County,00484,Escambia Co High Sch,010135000484,489,664,135.79,0,9,168,34.36,51,10.43,48,9.82,2209169.66,1620807.83,45711.82,218853.86,196275.1,463624.31,4517.73,3314.54,93.48,447.55,401.38,948.11
AL,ALABAMA,0101350,Escambia County,00492,W S Neal High Sch,010135000492,412,162,39.32,8,0,70,16.99,2,0.49,43,10.44,1494657.49,1121350.96,27822.42,154957.63,116405.44,279482.3,3627.81,2721.73,67.53,376.11,282.54,678.36
AL,ALABAMA,0101380,Etowah County,00498,Glencoe High Sch,010138000498,349,32,9.17,0,0,0,0,4,1.15,13,3.72,1372411.9,1018178.4,16282,134319,203632.5,467929.88,3932.41,2917.42,46.65,384.87,583.47,1340.77
AL,ALABAMA,0101380,Etowah County,00505,Sardis High Sch,010138000505,465,122,26.24,6,0,77,16.56,12,2.58,22,4.73,1751577.86,1387062.86,16739,150531,197245,560007.57,3766.83,2982.93,36,323.72,424.18,1204.32
AL,ALABAMA,0101380,Etowah County,00506,Southside High Sch,010138000506,869,112,12.89,17,0,50,5.75,9,1.04,46,5.29,2772108.77,2276196.27,16282,217848,261782.5,686831.2,3190,2619.33,18.74,250.69,301.25,790.37
AL,ALABAMA,0101380,Etowah County,01662,Hokes Bluff High Sch,010138001662,431,42,9.74,4,0,19,4.41,2,0.46,10,2.32,1652862.08,1272896.58,16739,160613,202613.5,441506.35,3834.95,2953.36,38.84,372.65,470.1,1024.38
AL,ALABAMA,0101410,Eufaula City,00511,Eufaula High Sch,010141000511,794,114,14.36,4,0,207,26.07,7,0.88,41,5.16,3626085.15,3626085.15,394476,253526.01,325021.85,1837214,4566.86,4566.86,496.82,319.3,409.35,2313.87
AL,ALABAMA,0101470,Fayette County,01787,Fayette Co High Sch,010147001787,373,48,12.87,0,0,55,14.75,2,0.54,9,2.41,1388263.26,1129652.53,35529.86,102597.6,120483.27,274577.4,3721.89,3028.56,95.25,275.06,323.01,736.13
AL,ALABAMA,0101560,Fort Payne City,00538,Fort Payne High Sch,010156000538,926,144,15.55,0,0,121,13.07,0,0,48,5.18,3322330,2689546.84,85245.5,176628,370909.98,507626.05,3587.83,2904.48,92.06,190.74,400.55,548.19
AL,ALABAMA,0101620,Gadsden City,01824,Gadsden City High Sch,010162001824,1496,622,41.58,8,0,307,20.52,77,5.15,104,6.95,6436701.53,4738785.64,135657.08,966529.97,595729.04,1044114.89,4302.61,3167.64,90.68,646.08,398.21,697.94
AL,ALABAMA,0101640,Geneva City,00567,Geneva High Sch,010164000567,329,67,20.36,0,2,50,15.2,6,1.82,15,4.56,1610031.63,1029778.21,76554.37,207674.63,188617.71,52123.85,4893.71,3130.02,232.69,631.23,573.31,158.43
AL,ALABAMA,0101660,Geneva County,00570,Geneva Co High Sch,010166000570,235,17,7.23,0,0,31,13.19,0,0,5,2.13,830588.52,574031.93,75007.57,50917.24,130631.78,680814.84,3534.42,2442.69,319.18,216.67,555.88,2897.08
AL,ALABAMA,0101660,Geneva County,00571,Samson High Sch,010166000571,257,79,30.74,0,0,45,17.51,8,3.11,14,5.45,755526.56,557732.05,35132.29,37789.48,124872.74,836432.62,2939.79,2170.16,136.7,147.04,485.89,3254.6
AL,ALABAMA,0101660,Geneva County,01519,Slocomb High Sch,010166001519,390,34,8.72,0,0,49,12.56,4,1.03,12,3.08,1261314.52,958992.74,29172.47,44955.63,228193.68,901255.86,3234.14,2458.96,74.8,115.27,585.11,2310.91
AL,ALABAMA,0101690,Guntersville City,00582,Guntersville High Sch,010169000582,613,96,15.66,0,46,34,5.55,46,7.5,34,5.55,2580493,1724286.85,38615.72,84308.31,2266001.53,218743.95,4209.61,2812.87,62.99,137.53,3696.58,356.84
AL,ALABAMA,0101710,Hale County,00588,Hale Co High Sch,010171000588,414,140,33.82,18,0,38,9.18,17,4.11,26,6.28,1649527.56,1154443.56,34281.1,153043.8,307759.1,187257.88,3984.37,2788.51,82.8,369.67,743.38,452.31
AL,ALABAMA,0101710,Hale County,02162,Greensboro High Sch,010171002162,466,558,119.74,0,0,46,9.87,61,13.09,16,3.43,1670928.34,1100149.34,6228.73,167246.54,397303.73,152024.25,3585.68,2360.84,13.37,358.9,852.58,326.23
AL,ALABAMA,0101720,Haleyville City,00594,Haleyville High Sch,010172000594,561,15,2.67,0,0,38,6.77,2,0.36,7,1.25,1773262.12,1744382.46,134883.35,84780.29,88681.62,652510.55,3160.9,3109.42,240.43,151.12,158.08,1163.12
AL,ALABAMA,0101730,Hartselle City,00599,Hartselle High Sch,010173000599,935,30,3.21,0,0,64,6.84,6,0.64,13,1.39,3716875.05,2975464.58,72304.09,280958.84,388147.54,549700.54,3975.27,3182.32,77.33,300.49,415.13,587.92
AL,ALABAMA,0101760,Homewood City,00608,Homewood High Sch,010176000608,1139,191,16.77,0,0,0,0,5,0.44,36,3.16,7120448.6,4908525.41,81457.9,1514420.32,616044.97,1653024.88,6251.49,4309.5,71.52,1329.61,540.86,1451.29
AL,ALABAMA,0101770,Houston County,00615,Rehobeth High Sch,010177000615,724,0,0,0,0,143,19.75,0,0,0,0,2063099.54,2063099.54,36220.78,142452.37,209513.91,279407.95,2849.58,2849.58,50.03,196.76,289.38,385.92
AL,ALABAMA,0101800,Huntsville City,00629,Virgil Grissom High Sch,010180000629,1795,158,8.8,43,0,207,11.53,34,1.89,58,3.23,6328486.24,4849005.56,33558.44,810330.61,425243.3,211739.85,3525.62,2701.4,18.7,451.44,236.9,117.96
AL,ALABAMA,0101800,Huntsville City,00631,Huntsville High Sch,010180000631,1909,73,3.82,39,0,189,9.9,8,0.42,59,3.09,6052836.27,4771772.77,75446.63,772441.27,397474,160992.3,3170.68,2499.62,39.52,404.63,208.21,84.33
AL,ALABAMA,0101890,Jasper City,00678,Walker High Sch,010189000678,815,167,20.49,0,0,50,6.13,9,1.1,20,2.45,3769380,2698896,70888,638349.5,361246,2126554,4625.01,3311.53,86.98,783.25,443.25,2609.27
AL,ALABAMA,0101980,Lanett City,00759,Lanett Senior High Sch,010198000759,227,97,42.73,4,0,62,27.31,91,40.09,0,0,861779.62,642596,35465.27,75472.44,81738,17892.29,3796.39,2830.82,156.23,332.48,360.08,78.82
AL,ALABAMA,0102040,Lawrence County,00783,Lawrence Co High Sch,010204000783,628,14,2.23,2,0,198,31.53,6,0.96,6,0.96,1731800.94,1731800.94,18139.73,147552.32,165382.28,776303.1,2757.64,2757.64,28.88,234.96,263.35,1236.15
AL,ALABAMA,0102040,Lawrence County,00958,Lawrence Co Ctr Tech,010204000958,391,0,0,0,0,0,0,0,0,0,0,617320.27,442081.33,35920.74,55941.24,83376.96,244443.27,1578.82,1130.64,91.87,143.07,213.24,625.17
AL,ALABAMA,0102070,Lee County,00790,Beauregard High Sch,010207000790,714,398,55.74,16,2,358,50.14,26,3.64,125,17.51,2702854,1998983,204707,137072,362092,1277533,3785.51,2799.7,286.7,191.98,507.13,1789.26
AL,ALABAMA,0102190,Macon County,01811,Booker T Washington High,010219001811,570,152,26.67,0,0,94,16.49,49,8.6,91,15.96,4307360.86,1537299,14520.74,173068.45,141627,691886.2,7556.77,2697.02,25.47,303.63,248.47,1213.84
AL,ALABAMA,0102220,Madison County,00556,Madison Co High Sch,010222000556,504,68,13.49,0,2,28,5.56,2,0.4,16,3.17,2498154.3,1545749.93,40981.33,674307.71,237115.33,300169.82,4956.66,3066.96,81.31,1337.91,470.47,595.58
AL,ALABAMA,0102220,Madison County,00836,Hazel Green High Sch,010222000836,1373,621,45.23,0,0,226,16.46,53,3.86,74,5.39,5263024.88,3875095.97,37994.99,1061395.18,288538.74,667584.14,3833.23,2822.36,27.67,773.05,210.15,486.22
AL,ALABAMA,0102220,Madison County,00843,New Hope High Sch,010222000843,391,106,27.11,0,0,56,14.32,9,2.3,15,3.84,2062943.59,1163138,41118,680375,178312,200772.99,5276.07,2974.78,105.16,1740.09,456.04,513.49
AL,ALABAMA,0102220,Madison County,01683,Buckhorn High Sch,010222001683,1424,396,27.81,0,0,86,6.04,24,1.69,47,3.3,5338611.87,3910973.07,33481.83,1095974.08,298182.89,463443.56,3749.03,2746.47,23.51,769.64,209.4,325.45
AL,ALABAMA,0102310,Marion County,00868,Hamilton High Sch,010231000868,502,94,18.73,0,0,0,0,10,1.99,36,7.17,1874763.65,895797.02,16017.96,132018,161960.78,576574.78,3734.59,1784.46,31.91,262.98,322.63,1148.56
AL,ALABAMA,0102400,Monroe County,00973,Monroe Co High Sch,010240000973,515,363,70.49,5,2,227,44.08,27,5.24,33,6.41,1801470.68,1340935.83,34887.69,132372.71,145555.14,532282.57,3498,2603.76,67.74,257.03,282.63,1033.56
AL,ALABAMA,0102430,Montgomery County,01015,Carver Senior High Sch,010243001015,1218,933,76.6,0,7,57,4.68,635,52.13,66,5.42,3642881,2927629,188033,262175,265044,449575,2990.87,2403.64,154.38,215.25,217.61,369.11
AL,ALABAMA,0102430,Montgomery County,01024,Jefferson Davis High Sch,010243001024,1890,1794,94.92,13,0,855,45.24,623,32.96,222,11.75,5183173,4218311,215919,393886,355057,494353,2742.42,2231.91,114.24,208.41,187.86,261.56
AL,ALABAMA,0102430,Montgomery County,01035,Lee High Sch,010243001035,1492,1132,75.87,10,2,6,0.4,164,10.99,350,23.46,3560720,2841019,99398,318442,301861,446731,2386.54,1904.17,66.62,213.43,202.32,299.42
AL,ALABAMA,0102430,Montgomery County,01036,Lanier Senior High Sch,010243001036,919,1186,129.05,31,0,132,14.36,144,15.67,316,34.39,2536307,1820000,95859,190634,249814,276307,2759.86,1980.41,104.31,207.44,271.83,300.66
AL,ALABAMA,0102430,Montgomery County,02214,Park Crossing High School,010243002214,1338,541,40.43,9,0,188,14.05,61,4.56,124,9.27,3434435,2841313,58121,320904,214097,379750,2566.84,2123.55,43.44,239.84,160.01,283.82
AL,ALABAMA,0102480,Morgan County Schools,01042,Danville High Sch,010248001042,448,15,3.35,2,0,42,9.38,4,0.89,10,2.23,1578524.29,1164140.06,10724,145341.7,258318,5178,3523.49,2598.53,23.94,324.42,576.6,11.56
AL,ALABAMA,0102480,Morgan County Schools,01048,Priceville High Sch,010248001048,439,62,14.12,0,0,58,13.21,2,0.46,14,3.19,1665901.62,1264507.58,14569.43,136261.53,250563.08,16433.11,3794.76,2880.43,33.19,310.39,570.76,37.43
AL,ALABAMA,0102480,Morgan County Schools,01052,West Morgan High Sch,010248001052,384,48,12.5,0,0,68,17.71,6,1.56,0,0,1670167.61,1048859,6230.04,374366.31,240711.29,7584.58,4349.39,2731.4,16.22,974.91,626.85,19.75
AL,ALABAMA,0102550,Oneonta City,01064,Oneonta High Sch,010255001064,435,27,6.21,0,0,67,15.4,4,0.92,10,2.3,12643631.63,1061805.13,19570,53792.8,129464.5,1080355.18,29065.82,2440.93,44.99,123.66,297.62,2483.58
AL,ALABAMA,0102580,Opelika City,01070,Opelika High Sch,010258001070,1251,966,77.22,0,0,246,19.66,56,4.48,76,6.08,6741947,4028000,191555,1061127,652966,9003131,5389.25,3219.82,153.12,848.22,521.96,7196.75
AL,ALABAMA,0102635,Oxford City,01075,Oxford High Sch,010263501075,1232,144,11.69,0,0,0,0,11,0.89,95,7.71,3907622,2486263,109785,983094,327304,433301,3171.77,2018.07,89.11,797.97,265.67,351.71
AL,ALABAMA,0102640,Ozark City,01080,Carroll High Sch,010264001080,696,503,72.27,2,0,272,39.08,29,4.17,68,9.77,2074219,1969369.53,58869,338801,295412,736261.04,2980.2,2829.55,84.58,486.78,424.44,1057.85
AL,ALABAMA,0102650,Pell City,01573,Pell City High Sch,010265001573,1165,252,21.63,0,4,245,21.03,7,0.6,71,6.09,3869884.53,3073825.96,70978.1,313242.31,411838.16,1666588.42,3321.79,2638.48,60.93,268.88,353.51,1430.55
AL,ALABAMA,0102700,Phenix City,01088,Central High Sch,010270001088,1309,884,67.53,0,2,344,26.28,29,2.22,128,9.78,4947654.92,3683800.4,128365.65,402311.78,378566,3656066.2,3779.72,2814.21,98.06,307.34,289.2,2793.02
AL,ALABAMA,0102730,Pickens County,01098,Aliceville High Sch,010273001098,283,113,39.93,2,0,25,8.83,4,1.41,10,3.53,607840.16,607840.16,30468.72,137050.51,115083.12,153529.38,2147.85,2147.85,107.66,484.28,406.65,542.51
AL,ALABAMA,0102850,Roanoke City,01126,Handley High Sch,010285001126,463,137,29.59,4,0,47,10.15,0,0,20,4.32,1123656.74,1059151.53,20367.29,255452.85,145689,395594.8,2426.9,2287.58,43.99,551.73,314.66,854.42
AL,ALABAMA,0102910,Russellville City,01142,Russellville High Sch,010291001142,762,27,3.54,0,0,89,11.68,0,0,21,2.76,3424824.93,2144866.09,57601.76,601181.16,264904.95,2120116.15,4494.52,2814.78,75.59,788.95,347.64,2782.3
AL,ALABAMA,0103000,Sheffield City,01164,Sheffield High Sch,010300001164,284,15,5.28,0,0,22,7.75,4,1.41,10,3.52,1356111.43,1031172.06,17220.48,247826.34,153444.78,172333.71,4775.04,3630.89,60.64,872.63,540.3,606.81
AL,ALABAMA,0103030,Shelby County School System,01170,Calera High Sch,010303001170,741,378,51.01,0,2,137,18.49,20,2.7,41,5.53,1846995.43,1798100.61,48630.82,210261.45,268280.57,561897.05,2492.57,2426.59,65.63,283.75,362.05,758.3
AL,ALABAMA,0103030,Shelby County School System,01171,Chelsea High Sch,010303001171,1209,119,9.84,0,0,143,11.83,24,1.99,24,1.99,2911219,2890680.13,20340.87,283132.23,353378.25,993897.91,2407.96,2390.97,16.82,234.19,292.29,822.08
AL,ALABAMA,0103030,Shelby County School System,01174,Shelby Co High Sch,010303001174,636,121,19.03,0,0,47,7.39,9,1.42,31,4.87,1787555.17,1767670.42,19884.75,210112.26,214907.01,506391.96,2810.62,2779.36,31.27,330.37,337.9,796.21
